titulo,cidade,empresa,dataPostagem,dataConsulta,link
Programador OutSystems Junior (Espanhol Fluente),Portugal,Irium,2023-11-19,2023-11-20,https://www.careerjet.pt/jobad/ptdeeff9496649a6eb581d1d9d5f0d5544
Programador OutSystems (Fluente em Espanhol),Portugal,Irium,2023-11-19,2023-11-20,https://www.careerjet.pt/jobad/pt5d83016451627e6a87605bbe31d6ae19
Programador Cobol Sénior,"Alfragide, Lisboa",Axians,2023-11-19,2023-11-20,https://www.careerjet.pt/jobad/pt551f96fc9574642b9fba6f8d6155eef9
"Outros Analistas e Programadores, de Software e Aplicações","Santo António dos Olivais, Coimbra",Sigiloso,2023-11-20,2023-11-20,https://www.careerjet.pt/jobad/pt2a996f44996633457d78f53e5997dd4c
"Outros Analistas e Programadores, de Software e Aplicações",Portugal,Sigiloso,2023-11-20,2023-11-20,https://www.careerjet.pt/jobad/pt0aca03d4e84df009b671710cc32b0aa3
"Outros Analistas e Programadores, de Software e Aplicações",Portugal,Sigiloso,2023-11-20,2023-11-20,https://www.careerjet.pt/jobad/pt81e39780de33a139e506b20234610489
PROGRAMADOR C++,"Vila Nova de Famalicão, Braga",MORE VOLUME,2023-11-19,2023-11-20,https://www.careerjet.pt/jobad/ptdc128856e704e51065f7086d80760b52
Programador (a) de Robots Industriais - Carregado,Lisboa,Michael Page,2023-11-19,2023-11-20,https://www.careerjet.pt/jobad/ptb6b000b26e8a308e1b47561286230c7d
Analista Programador - SQL,Lisboa,Randstad,2023-11-20,2023-11-20,https://www.careerjet.pt/jobad/pt20c273486d97797c1bd101d8ec61bc5b
Programador .NET + Angular,Lisboa,Bee Engineering,2023-11-19,2023-11-20,https://www.careerjet.pt/jobad/pt8ca9ac70d17b969d775a85fb488a9a74
Programador,Leiria,Get Peoople,2023-11-16,2023-11-20,https://www.careerjet.pt/jobad/ptdb6c40ccca91f637a1f8301d481b9ca6
"Outros Analistas e Programadores, de Software e Aplicações","Alfragide, Lisboa",Sigiloso,2023-11-18,2023-11-20,https://www.careerjet.pt/jobad/pt37904903f9695864c78464842a79c046
Analista Programador - SQL,Lisboa,Randstad,2023-11-18,2023-11-20,https://www.careerjet.pt/jobad/pt3612c9e2a9a3bba1ae435b550e4582cb
