titulo,cidade,empresa,dataPostagem,dataConsulta,link
Programador Senior Java,Lisboa,WorldIT,2023-11-20,2023-11-20,https://www.net-empregos.com/10781898/programador-senior-java/
Programador - Leiria,Leiria,Ten To Ten,2023-11-20,2023-11-20,https://www.net-empregos.com/10781202/programador-leiria/
Consultor Externo - Programador Python (M/F/D),Porto,JdC,2023-11-20,2023-11-20,https://www.net-empregos.com/10775738/consultor-externo-programador-python-m-f-d/
Analista/programador Cobol AS/400,Lisboa,DRAM Consultoria,2023-11-20,2023-11-20,https://www.net-empregos.com/10767633/analista-programador-cobol-as-400/
Programador de Autómatos - Dep. Automação,Braga,"ACL - António Cunha Leite, Lda",2023-11-20,2023-11-20,https://www.net-empregos.com/9980688/programador-de-automatos-dep-automacao/
"Operadores de máquinas CNC (fresadoras, tornos etc)  Bélgica",Outros Locais - Estrangeiro,OP International,2023-11-20,2023-11-20,https://www.net-empregos.com/10789779/operadores-de-maquinas-cnc-fresadoras-tornos-etc-belgica/
Programador Mainframe,Lisboa,IRIUM,2023-11-20,2023-11-20,https://www.net-empregos.com/10762463/programador-mainframe/
Programador OutSystems (M/F) - Remoto,Outros Locais - Estrangeiro,Ankix,2023-11-20,2023-11-20,https://www.net-empregos.com/10762702/programador-outsystems-m-f-remoto/
Consultor Outsystems Senior Developer (m/f) - Híbrido (Lisboa),Lisboa,Match Profiler,2023-11-20,2023-11-20,https://www.net-empregos.com/10762431/consultor-outsystems-senior-developer-m-f-hibrido-lisboa/
Analista Programador .Net Core (m/f) - Híbrido (Lisboa),Lisboa,Match Profiler,2023-11-20,2023-11-20,https://www.net-empregos.com/10760123/analista-programador-net-core-m-f-hibrido-lisboa/
"Programador em,  C#, Microsoft .NET.",Aveiro,"MAXIMA, Lda.",2023-11-19,2023-11-20,https://www.net-empregos.com/10762653/programador-em-c-microsoft-net/
Programador C++,( Todas as Zonas ),"MORE VOLUME, UNIPESSOAL LDA.",2023-11-19,2023-11-20,https://www.net-empregos.com/10737535/programador-c/
Programador SQL,Lisboa,Askblue,2023-11-19,2023-11-20,https://www.net-empregos.com/10774768/programador-sql/
Programador .NET Back End,( Todas as Zonas ),Askblue,2023-11-19,2023-11-20,https://www.net-empregos.com/10630287/programador-net-back-end/
Programador Java,Lisboa,Askblue,2023-11-19,2023-11-20,https://www.net-empregos.com/10596924/programador-java/
Consultor/a Desenvolvimento Oracle Apex/Developer - Step Ahead Consulting em Oeiras,Lisboa,Step Ahead Consulting SA,2023-11-18,2023-11-20,https://www.net-empregos.com/10753854/consultor-a-desenvolvimento-oracle-apex-developer-step-ahead-consulting-em-oeiras/
Desenvolvimento  Programador/Developer (m/f) - Step Ahead Consulting,Lisboa,Step Ahead Consulting SA,2023-11-18,2023-11-20,https://www.net-empregos.com/10753858/desenvolvimento-programador-developer-m-f-step-ahead-consulting/
Programador / Desenvolvedor Informático (M/F),Faro,SomaMotors,2023-11-18,2023-11-20,https://www.net-empregos.com/10754306/programador-desenvolvedor-informatico-m-f/
Engenheiro Programador,Leiria,"Fravizel, SA",2023-11-18,2023-11-20,https://www.net-empregos.com/10738106/engenheiro-programador/
Programadores de Software de gestão,Lisboa,CSTC - CONSULTING LDA,2023-11-18,2023-11-20,https://www.net-empregos.com/10562496/programadores-de-software-de-gestao/
Aprendiz de Operador/ programador CNC,Leiria,"Machado & Silveira, Lda",2023-11-18,2023-11-20,https://www.net-empregos.com/10689814/aprendiz-de-operador-programador-cnc/
Operador/ Programador CNC,Leiria,"Machado & Silveira, Lda",2023-11-18,2023-11-20,https://www.net-empregos.com/10689816/operador-programador-cnc/
Programador JAVA (M/F),Lisboa,"XSI Soluções Informáticas, Lda",2023-11-18,2023-11-20,https://www.net-empregos.com/10721780/programador-java-m-f/
Programador de CNC,Braga,"METALÚRGICA CENTRAL DA TROFA, LDA",2023-11-18,2023-11-20,https://www.net-empregos.com/10571743/programador-de-cnc/
Developer Analyst: Leva-nos até às melhores soluções [Oeiras],Lisboa,PHC SOFTWARE,2023-11-18,2023-11-20,https://www.net-empregos.com/10307401/developer-analyst-leva-nos-ate-as-melhores-solucoes-oeiras/
Functional Analyst [Oeiras ou Porto],Lisboa,PHC SOFTWARE,2023-11-18,2023-11-20,https://www.net-empregos.com/10307436/functional-analyst-oeiras-ou-porto/
Estamos à tua procura? Consultores ERP PHC_Entrada Imediata,( Todas as Zonas ),ANTURIO.com - Anturio Corporation,2023-11-18,2023-11-20,https://www.net-empregos.com/10298884/estamos-a-tua-procura-consultores-erp-phc-entrada-imediata/
Estamos à tua procura? Consultores ERP PHC (100% remoto),( Todas as Zonas ),ANTURIO.com - Anturio Corporation,2023-11-18,2023-11-20,https://www.net-empregos.com/10688286/estamos-a-tua-procura-consultores-erp-phc-100-remoto/
Programador CNC,Evora,Mecachrome,2023-11-18,2023-11-20,https://www.net-empregos.com/9853124/programador-cnc/
.NET Developers,Lisboa,Inoweiser,2023-11-18,2023-11-20,https://www.net-empregos.com/10477623/-net-developers/
Estamos à tua procura? Consultores ERP PHC (100% remoto)_Algarve,Faro,ANTURIO.com - Anturio Corporation,2023-11-18,2023-11-20,https://www.net-empregos.com/10439352/estamos-a-tua-procura-consultores-erp-phc-100-remoto-algarve/
Técnico Programador/Operador CNC,Leiria,SPS SWISS GROUP PORTUGAL TFSE LDA,2023-11-18,2023-11-20,https://www.net-empregos.com/10565424/tecnico-programador-operador-cnc/
Operador / Programador de Máquinas CNC (M/F),Porto,Quantal,2023-11-18,2023-11-20,https://www.net-empregos.com/9685087/operador-programador-de-maquinas-cnc-m-f/
PROGRAMADOR CNC (m/f) - Castelo de Paiva,Aveiro,ANEXXA - Soluções de Recursos Humanos,2023-11-18,2023-11-20,https://www.net-empregos.com/10786461/programador-cnc-m-f-castelo-de-paiva/
Programador Tibco,Lisboa,Integer Consulting,2023-11-18,2023-11-20,https://www.net-empregos.com/10754687/programador-tibco/
Consultor GoLang,Lisboa,Bee Engineering,2023-11-18,2023-11-20,https://www.net-empregos.com/10737360/consultor-golang/
Programador PHP Sénior,Lisboa,Integer Consulting,2023-11-18,2023-11-20,https://www.net-empregos.com/10445955/programador-php-senior/
Programador .NET - Distribuição,( Todas as Zonas ),Integer Consulting,2023-11-18,2023-11-20,https://www.net-empregos.com/10737184/programador-net-distribuicao/
Programador Java - Oil&Gas,( Todas as Zonas ),Integer Consulting,2023-11-18,2023-11-20,https://www.net-empregos.com/10737202/programador-java-oil-gas/
Programador .NET   Angular,( Todas as Zonas ),Bee Engineering,2023-11-18,2023-11-20,https://www.net-empregos.com/10753346/programador-net-angular/
Programador TSQL,Lisboa,Integer Consulting,2023-11-18,2023-11-20,https://www.net-empregos.com/10705473/programador-tsql/
Programador (m/f)- Staples,Lisboa,Staples,2023-11-18,2023-11-20,https://www.net-empregos.com/10579544/programador-m-f-staples/
PROGRAMADOR PHC m/f - PORTO,Porto,Grupo Galileu RH,2023-11-18,2023-11-20,https://www.net-empregos.com/8931671/programador-phc-m-f-porto/
DYNAMICS AX CONSULTANT m/f - PORTO,Porto,Grupo Galileu RH,2023-11-18,2023-11-20,https://www.net-empregos.com/9383748/dynamics-ax-consultant-m-f-porto/
Programador CRM Microsoft Dynamics 365,Lisboa,Axians Portugal,2023-11-18,2023-11-20,https://www.net-empregos.com/10713259/programador-crm-microsoft-dynamics-365/
Developer Java - Sénior,Porto,Axians Portugal,2023-11-18,2023-11-20,https://www.net-empregos.com/10711856/developer-java-senior/
DYNAMICS AX CONSULTANT m/f - VISEU,Viseu,Grupo Galileu RH,2023-11-18,2023-11-20,https://www.net-empregos.com/9383750/dynamics-ax-consultant-m-f-viseu/
PROGRAMADOR PHC m/f - VISEU,Viseu,Grupo Galileu RH,2023-11-18,2023-11-20,https://www.net-empregos.com/8346756/programador-phc-m-f-viseu/
Programador Sénior ERP,( Todas as Zonas ),Genesis.Studio,2023-11-18,2023-11-20,https://www.net-empregos.com/10689317/programador-senior-erp/
Programador Microsoft PowerApps (REF: MVT_PApps),Lisboa,Neotalent,2023-11-18,2023-11-20,https://www.net-empregos.com/9864728/programador-microsoft-powerapps-ref-mvt-papps/
Programador/Consultor RPG (REF: MVT),Porto,Neotalent,2023-11-18,2023-11-20,https://www.net-empregos.com/9345256/programador-consultor-rpg-ref-mvt/
Programador ERP Dynamics NAV  (REF: MVT_Nav),Lisboa,Neotalent,2023-11-18,2023-11-20,https://www.net-empregos.com/10736329/programador-erp-dynamics-nav-ref-mvt-nav/
Sistemas Embebidos (C/C++),Lisboa,Dellent,2023-11-18,2023-11-20,https://www.net-empregos.com/10712187/sistemas-embebidos-c-c/
Java Developer,Lisboa,Dellent,2023-11-18,2023-11-20,https://www.net-empregos.com/10712181/java-developer/
Programador M/F Sénior,Braga,Casino Portugal,2023-11-17,2023-11-20,https://www.net-empregos.com/10572949/programador-m-f-senior/
Aprendiz - Operador/Programador de Máquina de Furação (m/f),Leiria,Moldetipo Group,2023-11-17,2023-11-20,https://www.net-empregos.com/10478155/aprendiz-operador-programador-de-maquina-de-furacao-m-f/
Pretende-se contratar Programador na zona da Covilhã,Castelo Branco,Empresa na Covilhã,2023-11-17,2023-11-20,https://www.net-empregos.com/10761449/pretende-se-contratar-programador-na-zona-da-covilha/
Programador PHP,Lisboa,"TECMIC - Tecnologias de Microelectrónica, SA",2023-11-17,2023-11-20,https://www.net-empregos.com/10646859/programador-php/
Programador CMM - Braga,Braga,PTC Group,2023-11-17,2023-11-20,https://www.net-empregos.com/10782042/programador-cmm-braga/
Estamos em crescimento_Consultores PHC (m/f),( Todas as Zonas ),ANTURIO.com - Anturio Corporation,2023-11-17,2023-11-20,https://www.net-empregos.com/10563457/estamos-em-crescimento-consultores-phc-m-f/
Estamos a Contratar Consultor PHC (m/f)_Aveiro,Aveiro,ANTURIO.com - Anturio Corporation,2023-11-17,2023-11-20,https://www.net-empregos.com/10688866/estamos-a-contratar-consultor-phc-m-f-aveiro/
Programador PHP,Porto,Cognos Formação e Desenvolvimento Pessoal,2023-11-17,2023-11-20,https://www.net-empregos.com/10780429/programador-php/
Programador ERP .NET (m/f) - Braga; Leiria; Lisboa ou Porto,Braga,inCentea - Tecnologia de Gestão,2023-11-17,2023-11-20,https://www.net-empregos.com/10705949/programador-erp-net-m-f-braga-leiria-lisboa-ou-porto/
Programador Cobol Sénior,Lisboa,Axians Portugal,2023-11-17,2023-11-20,https://www.net-empregos.com/10782304/programador-cobol-senior/
Programador Cobol Júnior,Lisboa,Axians Portugal,2023-11-17,2023-11-20,https://www.net-empregos.com/10782308/programador-cobol-junior/
Programador PHP (M/F),Lisboa,TalentSeed,2023-11-17,2023-11-20,https://www.net-empregos.com/10780392/programador-php-m-f/
Programador OutSystems (Fluente em Espanhol),Lisboa,IRIUM,2023-11-17,2023-11-20,https://www.net-empregos.com/10781905/programador-outsystems-fluente-em-espanhol/
Programador de Plataformas Aplicacionais,Lisboa,Rumos Consulting,2023-11-17,2023-11-20,https://www.net-empregos.com/9188873/programador-de-plataformas-aplicacionais/
Programador Sénior OutSystems,( Todas as Zonas ),Genesis.Studio,2023-11-17,2023-11-20,https://www.net-empregos.com/10780895/programador-senior-outsystems/
Programador Sénior OutSystems (Formação),( Todas as Zonas ),Genesis.Studio,2023-11-17,2023-11-20,https://www.net-empregos.com/10780927/programador-senior-outsystems-formacao/
Node.js Developer,Lisboa,Rumos Consulting,2023-11-17,2023-11-20,https://www.net-empregos.com/9948350/node-js-developer/
Programador Robótica (m/f)  Lisboa,Lisboa,Claire Joster,2023-11-17,2023-11-20,https://www.net-empregos.com/10470701/programador-robotica-m-f-lisboa/
Programador PHP (m/f) - Lisboa,Lisboa,Fórmula do Talento,2023-11-17,2023-11-20,https://www.net-empregos.com/10580052/programador-php-m-f-lisboa/
Web Developer (Programador Web)  Porto (m/f),Porto,Critérios  Clínica Empresarial,2023-11-17,2023-11-20,https://www.net-empregos.com/10219522/web-developer-programador-web-porto-m-f/
Operador/Programador CNC (M/F) V. N. Gaia,Porto,Domino RH,2023-11-17,2023-11-20,https://www.net-empregos.com/10629609/operador-programador-cnc-m-f-v-n-gaia/
Serralheiro de Moldes (M/F) - Braga,Braga,Grupo Intelac,2023-11-17,2023-11-20,https://www.net-empregos.com/10447718/serralheiro-de-moldes-m-f-braga/
Java Developer,Lisboa,IRIUM,2023-11-17,2023-11-20,https://www.net-empregos.com/10753627/java-developer/
Técnico/Programador de CNC (M/F) - Guimarães,Braga,"Leader empresa de trabalho temporário, Lda",2023-11-17,2023-11-20,https://www.net-empregos.com/10572855/tecnico-programador-de-cnc-m-f-guimaraes/
Programador (a) de Robots Industriais - Carregado,Lisboa,Michael Page,2023-11-17,2023-11-20,https://www.net-empregos.com/10782750/programador-a-de-robots-industriais-carregado/
Analista Programador Mainframe Cobol (m/f) - Híbrido (Porto),Porto,Match Profiler,2023-11-17,2023-11-20,https://www.net-empregos.com/10782234/analista-programador-mainframe-cobol-m-f-hibrido-porto/
PROGRAMADOR DE CNC (M/F) BRAGA,Braga,BL Consulting,2023-11-17,2023-11-20,https://www.net-empregos.com/10780842/programador-de-cnc-m-f-braga/
